0 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
20 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2880,378 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2890,206 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2898,668 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2908,008 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2917,648 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2928,02 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2937,578 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2967,267 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2976,438 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2984,911 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2998,26 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3007,25 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3016,412 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3024,936 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3034,566 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3043,091 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3052,724 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3060,928 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3071,02 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3079,034 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3088,366 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3120,25 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3133,752 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3141,313 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3151,463 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3158,89 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3168,112 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3177,111 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3185,592 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3194,962 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3203,875 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3213,64 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3221,552 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3231,909 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3240,369 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3272,766 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3281,836 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3291,149 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3298,792 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3306,894 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3315,742 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3324,072 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3333,054 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3340,353 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3349,944 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3357,63 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3366,197 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3374,975 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3382,658 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3392,124 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3420,079 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3429,782 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3437,072 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3445,501 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3454,198 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3461,745 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3472,009 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3479,936 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3488,816 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3497,367 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3506,48 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3515,199 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3523,173 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3533,578 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3541,331 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3551,581 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3579,483 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3591,152 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3599,916 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3608,895 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3618,083 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3647,096 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3669,308 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3682,704 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3697,3 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3709,193 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3758,3 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3772,411 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3781,965 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3792,082 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3799,851 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3809,13 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3826,721 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3836,151 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3845,48 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3854,937 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3865,606 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3896,756 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3906,458 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3916,24 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3929,074 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3937,918 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3946,759 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3955,951 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3964,789 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3974,507 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3982,846 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
3993,176 -- (79.9, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
